PLANTA;NOMBRE DE SALÓN;CAPACIDAD;IDENTIFICADOR UXII;OBSERVACIONES;;;;;;
Piso 4;SALA DE SISTEMAS 411-SEDE CALLE 73;20;INF 411;20 TODO EN UNO;;;;;;
Piso 4;AUDITORIO PFIZER -SEDE CALLE 73;60;PFIZER;AUDITORIO PEQUEÑO VIDEO BEAM;;;;;;
Piso 4;SALON 412-SEDE CALLE 73;20;412;;;;;;;
Piso 4;SALON 413-SEDE CALLE 73;14;413;;;;;;;
Piso 4;SALON 414-SEDE CALLE 73;PENT;414;MODAS;;;;;;
Piso 4;SALON 415-SEDE CALLE 73;PENT;415;MODAS;;;;;;
Piso 4;SALON 416-SEDE CALLE 73;22;416;;;;;;;
Piso 4;SALA DE SISTEMAS 417-SEDE CALLE 73;20;INF 417;ADMISIONES;;;;;;
Piso 4;SALON 418-SEDE CALLE 73;25;418;ADMISIONES;;;;;;
Piso 4;SALON 419-SEDE CALLE 73;25;419;ADMISIONES;;;;;;
Piso 4;SALA DE SISTEMAS SOFT 420-SEDE CALLE 73;20;INF 420;;;;;;;
