ASIGNATURAS EN SALA DE SISTEMAS
ACUERDOS INTERNACIONALES Y GEOPOLITICA
ALGEBRA LINEAL
ANALISIS FINANCIERO
APLICACIONES I
APLICACIONES II
APLICACIONES MOVILES
BASES DE DATOS I
BASES DE DATOS II
BASES DE DATOS III
CALIDAD DE SOFTWARE
CAMBIOS INTERNACIONALES
CICLO AVANZADO I
CICLO BASICO I
CICLO BASICO II
CICLO ELEMENTAL
CICLO INTERMEDIO I
CICLO INTERMEDIO II
CICLO PRACTICO I
CICLO PRACTICO II
CLASIFICACION ARANCELARIA
COMERCIALIZADORA INTERNACIONAL
CONTABILIDAD
CONTABILIDAD BASICA
CONTABILIDAD I
CONTABILIDAD II
CONTABILIDAD IV
COSTOS Y PRESUPUESTOS
DISEÑO DE ALGORITMO II
DISEÑO DE ALGORITMOS
DISTRIBUCION FISICA INTERNACIONAL
E-COMMERCE
ESTADISTICA
ESTADISTICA PROBABILISTICA PARA LA TOMA DE DECISIONES
ESTRUCTURA DE DATOS
EXCEL INTERMEDIO
FUNDAMENTOS DE ARQUITECTURA
FUNDAMENTOS DE FINANZAS
FUNDAMENTOS DE REDES
GDS Y SISTEMAS DE RESERVAS I
GDS Y SISTEMAS DE RESERVAS II
GESTION DE SUMINISTROS
INFORMATICA
INGENIERIA DE SOFTWARE I
INGENIERIA SOFTWARE II
INTELIGENCIA DE NEGOCIOS
INTRODUCCION AL COMERCIO EXTERIOR
LEGISLACIÓN ADUANERA
LEGISLACION DE LA PRIMERA INFANCIA II
LEGISLACIÓN DOCUMENTAL
LEGISLACION INFORMATICA
LENGUAJE DE PROGRAMACIÓN PARA APLICACIONES DE LA NUBE
LOGISTICA DE APROVISIONAMIENTO
MANEJO AVANZADO DE HOJAS DE CALCULO
MARKETING INTERNACIONAL
MATEMATICA BASICA
MATEMATICA FINANCIERA
MEDIOS DE PAGO Y COBERTURA CAMBIARIA
NEGOCIOS Y CONTRATOS INTERNACIONALES
ORGANIZACIÓN DOCUMENTAL
PRINCIPIOS DE CONTABILIDAD
PROCEDIMIENTOS TRIBUTARIOS
PROCESOS COMERCIALES EN CONTRATACIONES PUBLICAS
PROCESOS DE EXPORTACIÓN I
PROCESOS DE EXPORTACION II
PROCESOS DE EXPORTACION III
PROCESOS DE IMPORTACION I
PROCESOS DE IMPORTACION II
PROCESOS DE IMPORTACION III
PROGRAMACION I
PROGRAMACIÓN II
PROGRAMACION ORIENTADA A OBJETOS
PROGRAMACION WEB
SEGURIDAD INFORMATICA
SERVICIO AL CLIENTE
SISTEMA DE INFORMACION EMPRESARIAL
SISTEMAS INTEGRADOS
SISTEMAS OPERATIVOS
SOPORTE Y MANTENIMIENTO
TECNOLOGIA DE INFORMACIÓN PARA LOS NEGOCIOS
TIC
TRAFICO Y TRANSPORTE
ZEUS (ELECTIVA DISCIPLINAR)
ZONAS FRANCAS
FUNDAMENTOS DE LA CADENA DE ABASTECIMIENTO
TECNOLOGIAS DE LA INFORMACION PARA LOS NEGOCIOS
